,title,type,date_added,Action & Adventure,Anime,International,Family,Classic,Comedy,Crime,Cult,Documentaries,Dramas,Faith & Spirituality,Horror,Independent,LGBTQ,Music,Reality,Romantic,Sci-Fi & Fantasy,Science & Nature,Sports,Mystery,Thriller,Teen,mean_price,averageRating
1515,The Chase,TV Show,2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,437.707275390625,8.6
1516,The Show Must Go On: The Queen + Adam Lambert Story,Movie,2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,437.707275390625,7.8
1517,Underdogs,Movie,2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,437.707275390625,6.4
1518,Wira,Movie,2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.3
1519,4th Republic,Movie,2020-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,437.707275390625,6.5
1520,Alexa & Katie,TV Show,2020-06-13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,7.5
1521,How to Get Away with Murder,TV Show,2020-06-13,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,437.707275390625,8.1
1522,Axone,Movie,2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.9
1523,Da 5 Bloods,Movie,2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.5
1524,Dating Around,TV Show,2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,437.707275390625,6.4
1525,Frank Elstner: Just One Last Question,TV Show,2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,7.5
1526,Jo Koy: In His Elements,Movie,2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.5
1527,The Search,TV Show,2020-06-12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.7
1528,The Woods,TV Show,2020-06-12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.0
1529,From A to B,Movie,2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.8
1530,Curon,TV Show,2020-06-10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.9
1531,Lenox Hill,TV Show,2020-06-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,437.707275390625,8.7
1532,Middle Men,Movie,2020-06-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.8
1533,Reality Z,TV Show,2020-06-10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,437.707275390625,5.7
1534,The Witch: Part 1 - The Subversion,Movie,2020-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,7.1
1535,Before I Fall,Movie,2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.4
1536,Project Papa,Movie,2020-06-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.2
1537,Queen of the South,TV Show,2020-06-06,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,8.0
1538,The Night Clerk,Movie,2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.6
1539,13 Reasons Why,TV Show,2020-06-05,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,437.707275390625,7.2
1540,Big Stone Gap,Movie,2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.7
1541,Queer Eye,TV Show,2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,437.707275390625,6.4
1542,The Last Days of American Crime,Movie,2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437.707275390625,3.8
1543,Overnight Republic,Movie,2020-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.8
1544,Lady Bird,Movie,2020-06-03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437.707275390625,7.4
1545,Spelling the Dream,Movie,2020-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.9
1546,Alone,TV Show,2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,437.707275390625,6.8
1547,My Horrible Grandma,Movie,2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.3
1548,The Student Cop,Movie,2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.4
1549,True: Rainbow Rescue,Movie,2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.7
1550,What's Up?,Movie,2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,3.0
1551,Cardcaptor Sakura,TV Show,2020-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,8.0
1552,Chippa,Movie,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.6
1553,Cook Off,Movie,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,6.0
1554,Kalek Shanab,Movie,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,4.9
1555,Midnight Diner,TV Show,2020-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,8.6
1556,Mirai,Movie,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,7.0
1557,The Disaster Artist,Movie,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,7.3
1558,The Stolen,Movie,2020-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.707275390625,5.3
1559,High Strung Free Dance,Movie,2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,433.8804992675781,6.8
1560,Freej Al Taibeen,Movie,2020-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.3
1561,Space Force,TV Show,2020-05-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.0
1562,The Other,Movie,2020-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.9
1563,"Can't Cope, Won't Cope",TV Show,2020-05-28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.3
1564,Dorohedoro,TV Show,2020-05-28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,8.1
1565,Intuition,Movie,2020-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,5.6
1566,Hannah Gadsby: Douglas,Movie,2020-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.6
1567,Ne Zha,Movie,2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.4
1568,Betaal,TV Show,2020-05-24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.4
1569,Dynasty,TV Show,2020-05-23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.4
1570,One Day We'll Talk About Today,Movie,2020-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.3
1571,Si Doel the Movie 3,Movie,2020-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,433.8804992675781,6.5
1572,History 101,TV Show,2020-05-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.8
1573,Living in Bondage: Breaking Free,Movie,2020-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,5.1
1574,The Lovebirds,Movie,2020-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.1
1575,The Married Couples,Movie,2020-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,8.0
1576,The School of Mischief,Movie,2020-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.2
1577,Anchor Baby,Movie,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.5
1578,Honeytrap,Movie,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.8
1579,I Will Follow,Movie,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.2
1580,Mutiny of the Worker Bees,Movie,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,4.1
1581,The Queen and the Conqueror,TV Show,2020-05-20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.6
1582,Escaping Tel Aviv,Movie,2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.3
1583,Karkar,Movie,2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,3.3
1584,My Sleeping Lover,Movie,2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,3.5
1585,Omar & Salma 2,Movie,2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,4.8
1586,Patton Oswalt: I Love Everything,TV Show,2020-05-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.4
1587,Sweet Magnolias,TV Show,2020-05-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,433.8804992675781,7.3
1588,The Beach Loafer,Movie,2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,4.8
1589,Wadjda,Movie,2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.5
1590,Zaki Chan,Movie,2020-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.6
1591,Light in the Dark,Movie,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.3
1592,The Big Flower Fight,TV Show,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,433.8804992675781,7.4
1593,Patriot Act with Hasan Minhaj,TV Show,2020-05-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,8.3
1594,Boys Over Flowers,TV Show,2020-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,433.8804992675781,7.4
1595,Avatar: The Last Airbender,TV Show,2020-05-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,9.3
1596,Heaven Without People,Movie,2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.4
1597,Inhuman Resources,TV Show,2020-05-15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.2
1598,Madam Secretary,TV Show,2020-05-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.8
1599,Magic for Humans,TV Show,2020-05-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,433.8804992675781,7.2
1600,Parasyte: The Maxim,TV Show,2020-05-15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,8.3
1601,She-Ra and the Princesses of Power,TV Show,2020-05-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,433.8804992675781,8.1
1602,Sleepless Society: Two Pillows & A Lost Soul,TV Show,2020-05-15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.6
1603,The Wiggles,TV Show,2020-05-15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.9
1604,White Lines,TV Show,2020-05-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.1
1605,Malang,Movie,2020-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.5
1606,The Delivery Boy,Movie,2020-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,6.2
1607,Wedy Atkalam,Movie,2020-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.9
1608,Fire in the Blood,Movie,2020-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.7
1609,The Wrong Missy,Movie,2020-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.8
1610,True: Terrific Tales,TV Show,2020-05-12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.7
1611,Action Replayy,Movie,2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,4.3
1612,Andaz Apna Apna,Movie,2020-05-11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,8.0
1613,Bordertown,TV Show,2020-05-11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.1
1614,John Henry,Movie,2020-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,3.6
1615,18 Presents,Movie,2020-05-08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.9
1616,Dead to Me,TV Show,2020-05-08,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.3
1617,Restaurants on the Edge,TV Show,2020-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,433.8804992675781,6.8
1618,The Hollow,TV Show,2020-05-08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.4
1619,Aerials,Movie,2020-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,1.5
1620,In Paradox,Movie,2020-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,4.8
1621,Becoming,Movie,2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.0
1622,"Sí, Mi Amor",Movie,2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,3.9
1623,Arctic Dogs,Movie,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,4.8
1624,Luccas Neto em: Acampamento de Férias 2,Movie,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,433.8804992675781,3.1
1625,One Day: Justice Delivered,Movie,2020-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.1
1626,Bennett's War,Movie,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,433.8804992675781,6.0
1627,Hoarders,TV Show,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,433.8804992675781,6.5
1628,Lady Driver,Movie,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,433.8804992675781,5.8
1629,Mike Birbiglia: My Girlfriend's Boyfriend,Movie,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,8.0
1630,Roped,Movie,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.5
1631,The Stand at Paxton County,Movie,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,433.8804992675781,6.4
1632,WWII in HD,TV Show,2020-05-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,8.7
1633,All Day and a Night,Movie,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,433.8804992675781,6.0
1634,Get In,Movie,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,5.6
1635,Hollywood,TV Show,2020-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,9.3
1636,I Am Divine,Movie,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,433.8804992675781,7.5
1637,Masha and the Bear,TV Show,2020-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.4
1638,Material,Movie,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,7.1
1639,Mrs. Serial Killer,Movie,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,4.1
1640,Psycho,Movie,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,433.8804992675781,6.1
1641,Reckoning,TV Show,2020-05-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,433.8804992675781,7.7
1642,What a Girl Wants,Movie,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.8804992675781,5.8
1643,Dangerous Lies,Movie,2020-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.6885710216704,5.4
1644,Good Witch,TV Show,2020-04-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,402.6885710216704,7.3
1645,The Forest of Love: Deep Cut,TV Show,2020-04-30,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.9
1646,A Secret Love,Movie,2020-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,402.6885710216704,7.8
1647,Extracurricular,TV Show,2020-04-29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,8.2
1648,Love Is War,Movie,2020-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.3
1649,Bir Baba Hindu,Movie,2020-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,2.6
1650,Küçük Esnaf,Movie,2020-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,5.6
1651,The Reliant,Movie,2020-04-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,3.3
1652,5Gang,Movie,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,1.9
1653,Love Aaj Kal,Movie,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,4.7
1654,The Lift Boy,Movie,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.2
1655,The Last Kingdom,TV Show,2020-04-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,8.5
1656,Bheeshma,Movie,2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.6
1657,Bittersweet,Movie,2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,8.0
1658,No Direction Home: Bob Dylan,Movie,2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,402.6885710216704,8.4
1659,She Made Me a Criminal,Movie,2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.5
1660,The Artist,Movie,2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.9
1661,The International Player,Movie,2020-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,402.6885710216704,6.4
1662,After Life,TV Show,2020-04-24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.6
1663,Kolaiyuthir Kaalam,Movie,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.6885710216704,2.6
1664,Love 101,TV Show,2020-04-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,402.6885710216704,7.4
1665,"Yours Sincerely, Kanan Gill",Movie,2020-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.1
1666,My Stupid Boss,Movie,2020-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.1
1667,My Stupid Boss 2,Movie,2020-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.5
1668,The House of Flowers,TV Show,2020-04-23,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.6
1669,This Earth of Mankind,Movie,2020-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.9
1670,Circus of Books,Movie,2020-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,402.6885710216704,7.1
1671,The Plagues of Breslau,Movie,2020-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.6885710216704,6.0
1672,The Set Up,Movie,2020-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,4.2
1673,The Silence of the Marsh,Movie,2020-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.6885710216704,5.0
1674,Bleach,TV Show,2020-04-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,8.2
1675,Middleditch & Schwartz,TV Show,2020-04-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,8.6
1676,The Midnight Gospel,TV Show,2020-04-20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,8.2
1677,Varane Avashyamund,Movie,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.9
1678,Earth and Blood,Movie,2020-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.6885710216704,5.2
1679,El Dragón: Return of a Warrior,TV Show,2020-04-17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.8
1680,Rising High,Movie,2020-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,6.0
1681,Sergio,Movie,2020-04-17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,402.6885710216704,7.4
1682,The Legacy of the Bones,Movie,2020-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,402.6885710216704,6.4
1683,Fauda,TV Show,2020-04-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,8.3
1684,Jem and the Holograms,Movie,2020-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,402.6885710216704,4.2
1685,Puerto Ricans in Paris,Movie,2020-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.6885710216704,5.4
